,name,type,address,lng,lat,province,city,district,Unnamed: 8
8756,文化大楼,商务住宅;楼宇;商务写字楼,梅山街道文化路与一号路交叉口附近,118.628491,31.899363,江苏省,南京市,雨花台区,
8757,上海梅山钢铁股份有限公司办公楼,商务住宅;楼宇;商务写字楼,梅山街道,118.628109,31.899625,江苏省,南京市,雨花台区,
8758,永安花苑,商务住宅;住宅区;住宅小区,雄风路518号,118.628584,31.894577,江苏省,南京市,雨花台区,
8759,梅苑新村(一号路),商务住宅;住宅区;住宅小区,雄风路488号,118.630163,31.896681,江苏省,南京市,雨花台区,
8760,汪海大厦,商务住宅;楼宇;商务写字楼,雄风路486号,118.630244,31.897728,江苏省,南京市,雨花台区,
8761,梅山灯光球场小区,商务住宅;住宅区;住宅小区,梅山生活区中兴路,118.627758,31.90193,江苏省,南京市,雨花台区,
8762,梅山中学新村小区,商务住宅;住宅区;住宅小区,新村东路与新村南路交叉口北100米,118.630334,31.903828,江苏省,南京市,雨花台区,
8763,英华园,商务住宅;住宅区;宿舍,二十一号路与二号路交叉口东南200米,118.624726,31.89812,江苏省,南京市,雨花台区,
8764,新建雅苑,商务住宅;住宅区;住宅小区,雄风路486号(公交车站),118.632299,31.898216,江苏省,南京市,雨花台区,
8765,风华园(十四号路),商务住宅;住宅区;住宅小区,14号路,118.628379,31.902847,江苏省,南京市,雨花台区,
8766,新建雅苑南区,商务住宅;住宅区;住宅小区,,118.63277,31.897089,江苏省,南京市,雨花台区,
8767,永安花苑南区,商务住宅;住宅区;住宅区,宁芜公路东100米,118.628155,31.895282,江苏省,南京市,雨花台区,
8768,梅怡新村,商务住宅;住宅区;住宅小区,梅山街道,118.624672,31.897991,江苏省,南京市,雨花台区,
8769,上怡新村南区,商务住宅;住宅区;住宅区,怡园路与静安路交叉口西北50米,118.633462,31.903295,江苏省,南京市,雨花台区,
8770,新建公寓,商务住宅;住宅区;住宅小区,辅机路178号,118.642224,31.90006,江苏省,南京市,雨花台区,
8771,新建一村,商务住宅;住宅区;住宅小区,板桥街道辅机路180号,118.640488,31.899961,江苏省,南京市,雨花台区,
8772,梅清苑,商务住宅;住宅区;住宅小区,,118.642802,31.903328,江苏省,南京市,雨花台区,
8773,上怡南苑,商务住宅;住宅区;住宅小区,梅山街道,118.637179,31.899194,江苏省,南京市,雨花台区,
8774,上怡二村,商务住宅;住宅区;住宅小区,健康路与绿洲路交叉口东北150米,118.637876,31.901827,江苏省,南京市,雨花台区,
8775,上怡新村,商务住宅;住宅区;住宅小区,板桥镇中兴路梅山街道,118.634732,31.902988,江苏省,南京市,雨花台区,
8776,绿洲南苑,商务住宅;住宅区;住宅小区,孙虞村路,118.64026,31.898592,江苏省,南京市,雨花台区,
8777,梅秀苑,商务住宅;住宅区;住宅小区,康健路北100米,118.639014,31.901561,江苏省,南京市,雨花台区,
8778,梅华苑,商务住宅;住宅区;住宅小区,古雄大道东150米,118.639906,31.903443,江苏省,南京市,雨花台区,
8779,新建二村,商务住宅;住宅区;住宅小区,辅机路182号,118.638527,31.898519,江苏省,南京市,雨花台区,
8780,新建二村(西门),商务住宅;商务住宅相关;商务住宅相关,辅机路182号,118.636209,31.898284,江苏省,南京市,雨花台区,
8781,建绿新苑,商务住宅;住宅区;住宅小区,辅机路181号,118.636902,31.896942,江苏省,南京市,雨花台区,
8782,雨花台区板桥永安绿洲南路经济适用房,商务住宅;住宅区;住宅小区,,118.63684,31.89516,江苏省,南京市,雨花台区,
8783,梅盛苑(康健路),商务住宅;住宅区;住宅小区,梅山生活区,118.641411,31.901641,江苏省,南京市,雨花台区,
8784,朗诗·绿色街区,商务住宅;住宅区;住宅小区,新亭大街66号,118.650578,31.904069,江苏省,南京市,雨花台区,
8785,朗诗·绿色街区(东园),商务住宅;住宅区;住宅小区,新亭大街66号,118.652152,31.903233,江苏省,南京市,雨花台区,
8786,朗诗·绿色街区东区,商务住宅;住宅区;住宅区,新亭大街66号附近,118.652489,31.903083,江苏省,南京市,雨花台区,
8787,绿洲新邨,商务住宅;住宅区;住宅小区,板桥街道绿洲路,118.646283,31.90168,江苏省,南京市,雨花台区,
8788,小盛店12,商务住宅;商务住宅相关;商务住宅相关,梅村路西200米,118.650475,31.896366,江苏省,南京市,雨花台区,
8789,金地自在城7期,商务住宅;住宅区;住宅小区,湖景路北100米,118.660462,31.902177,江苏省,南京市,雨花台区,
8790,金地自在城5期,商务住宅;住宅区;住宅小区,新湖大道东200米,118.66161,31.903998,江苏省,南京市,雨花台区,
8791,金地·艺境(新湖大道),商务住宅;住宅区;住宅区,新湖大道东200米,118.66187,31.90418,江苏省,南京市,雨花台区,
8792,金地自在城8期,商务住宅;住宅区;住宅小区,湖景路与石板路交叉口北200米,118.663726,31.900682,江苏省,南京市,雨花台区,
